Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_18_675.jpg;0;0;1;0;99.66999;85.58897;0.0002386631;56.82556;4.911126E-07
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_18_688.jpg;0;0;0;0;99.66999;85.58897;0.0001993698;56.82556;8.132515E-07
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_18_734.jpg;0;0;0;0;99.66999;85.58897;0.0001950196;56.82556;4.639795E-07
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_18_783.jpg;0;0;0;0;99.66999;85.58897;0.0001929697;56.82556;2.431006E-07
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_18_835.jpg;0;0;0;0;99.66999;85.58897;0.0001907152;56.82556;-3.870812E-08
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_18_884.jpg;0;0;0;0;99.66999;85.58897;0.0001897642;56.82556;-2.106262E-07
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_18_934.jpg;0;0;0;0;99.66999;85.58897;0.0001888741;56.82556;-5.871029E-07
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_18_984.jpg;0;0;0;0;99.66999;85.58897;0.0001888328;56.82556;-8.221297E-07
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_19_034.jpg;0;0;0;0;99.66999;85.58897;0.0001895988;56.82556;-1.150737E-06
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_19_084.jpg;0;0;0;0;99.66999;85.58897;0.0001913462;56.82556;-1.409702E-06
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_19_135.jpg;0;0;0;0;99.66999;85.58897;0.0001929;56.82556;-1.392297E-06
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_19_185.jpg;0;0;0;0;99.66999;85.58897;0.0001957269;56.82556;-1.162716E-06
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_19_234.jpg;0;0;0;0;99.66999;85.58897;0.0001979553;56.82556;-1.167073E-06
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_19_285.jpg;0;0;0;0;99.66999;85.58897;0.0002013393;56.82556;-9.385765E-07
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_19_334.jpg;0;0;0;0;99.66999;85.58897;0.0002039159;56.82556;-6.165093E-07
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_19_384.jpg;0;0;0;0;99.66999;85.58897;0.0002080158;56.82556;-1.747451E-07
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_19_434.jpg;0;0;0;0;99.66999;85.58897;0.0002110516;56.82556;-2.726797E-07
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_19_484.jpg;0;0;0;0;99.66999;85.58897;0.0002156064;56.82556;1.375188E-07
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_19_534.jpg;0;0;0;0;99.66999;85.58897;0.0002184485;56.82556;3.159637E-07
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_19_584.jpg;0;0;0;0;99.66999;85.58897;0.0002229162;56.82556;6.445577E-07
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_19_634.jpg;0;0.05036354;0;0;99.67006;85.58908;0.003199409;56.82556;8.062491E-07
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_19_685.jpg;0;0.2004319;0;0;99.67035;85.58952;0.01443863;56.82457;-9.421525E-08
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_19_735.jpg;0;0.3508793;0;0.02410279;99.67117;85.59077;0.04678975;56.79739;1.656355E-05
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_19_785.jpg;0;0.5013962;0;0.03691404;99.67284;85.59332;0.1084826;56.67247;0.0002954362
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_19_835.jpg;0;0.6491343;0;0.04428345;99.67447;85.59581;0.1663169;56.84362;-0.0001386354
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_19_884.jpg;0;0.7999402;0;0.0932855;99.6771;85.59982;0.2597153;56.84045;-0.0002812946
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_19_935.jpg;0;0.9499789;0;0.1216519;99.68304;85.60887;0.4614692;56.77258;-0.0008813497
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_19_983.jpg;0;1;0;0.1616788;99.68789;85.61626;0.6062204;56.82713;-0.0007877037
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_20_034.jpg;0;1;0;0.2014964;99.69708;85.63027;0.8589924;56.8487;-0.0005731867
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_20_083.jpg;0;1;0;0.2461578;99.70395;85.64071;1.024976;56.80855;-0.0005217391
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_20_133.jpg;0;0.9003433;0;0.2855122;99.71542;85.65806;1.256094;56.93068;-0.003525518
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_20_182.jpg;0;0.7504081;0;0.3160928;99.72293;85.66927;1.310834;56.97538;-0.004285784
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_20_233.jpg;0;0.5998142;0;0.3668412;99.73396;85.68565;1.205369;57.01148;-0.001392626
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_20_283.jpg;0;0.7490396;0;0.3846784;99.74156;85.69725;1.110708;57.03794;-1.731885E-05
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_20_333.jpg;0;0.9110902;0;0.4049553;99.75367;85.71581;0.9887239;57.09914;0.003032709
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_20_382.jpg;0;0.7725042;0;0.4707854;99.76373;85.73115;0.9780902;57.05486;0.002159615
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_20_434.jpg;0;0.6203811;0;0.4811421;99.77948;85.75539;0.9733527;57.24929;-0.001057284
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_20_482.jpg;0;0.6639597;0;0.5138879;99.79055;85.77254;0.9821666;57.37009;-0.001031777
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_20_534.jpg;0;0.7129743;0;0.5228342;99.80816;85.79984;1.013151;57.42897;-0.001273549
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_20_583.jpg;0;0.564302;0;0.5675382;99.82051;85.81902;1.042674;57.44288;-0.0005222224
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_20_633.jpg;0;0.5195618;0;0.5708376;99.84;85.84927;1.098474;57.44365;-0.001041929
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_20_683.jpg;0;0.6693701;0;0.6020087;99.85323;85.86978;1.126354;57.3994;-0.0005798243
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_20_734.jpg;0;0.5204192;0;0.6246521;99.87441;85.90268;1.191824;57.42615;-0.0009113603
